;Total extran;Total pobla;Pobla no extran;Indice
1.1. la Seu;487;2978;2491;0.195503814
1.2. la Xerea;458;3885;3427;0.133644587
1.3. el Carme;999;6384;5385;0.18551532
1.4. el Pilar;841;4588;3747;0.224446224
1.5. el Mercat;559;3530;2971;0.188152137
1.6. Sant Francesc;601;5445;4844;0.124071016
2.1. Russafa;3.023;23864;20841;0.145050621
2.2. el Pla del Remei;326;7005;6679;0.048809702
2.3. Gran Via;776;11746;10970;0.070738377
3.1. el Botànic;891;6631;5740;0.155226481
3.2. la Roqueta;825;4413;3588;0.22993311
3.3. la Petxina;1.379;15030;13651;0.10101824
3.4. Arrancapins;2.137;22401;20264;0.105457955
4.1. Campanar;962;11601;10639;0.090422032
4.2. les Tendetes;831;5205;4374;0.189986283
4.3. el Calvari;985;4741;3756;0.262247071
4.4. Sant Pau;1.444;16227;14783;0.097679767
5.1. Marxalenes;1.543;10552;9009;0.171273171
5.2. Morvedre;1.346;10256;8910;0.151066218
5.3. Trinitat;1.120;7876;6756;0.165778567
5.4. Tormos;1.162;8489;7327;0.158591511
5.5. Sant Antoni;930;9718;8788;0.105826127
6.1. Exposició;435;6702;6267;0.069411202
6.2. Mestalla;1.543;14550;13007;0.118628431
6.3. Jaume Roig;408;6460;6052;0.06741573
6.4. Ciutat Universitària;243;2650;2407;0.100955546
7.1. Nou Moles;3.629;25901;22272;0.162940014
7.2. Soternes;687;5024;4337;0.158404427
7.3. Tres Forques;1.837;8816;6979;0.263218226
7.4. la Fontsanta;708;3518;2810;0.251957295
7.5. la Llum;440;5052;4612;0.095403296
8.1. Patraix;2.561;24555;21994;0.116440848
8.2. Sant Isidre;527;9891;9364;0.056279368
8.3. Vara de Quart;762;10426;9664;0.078849338
8.4. Safranar;515;9143;8628;0.059689383
8.5. Favara;487;3615;3128;0.155690537
9.1. la Raiosa;2.554;15417;12863;0.198553992
9.2. l'Hort de Senabre;1.932;17024;15092;0.128014842
9.3. la Creu Coberta;693;6117;5424;0.127765487
9.4. Sant Marcel·lí;1.046;9963;8917;0.117304026
9.5. Camí Real;317;3705;3388;0.093565525
10.1. Mont-Olivet;3.073;19555;16482;0.18644582
10.2. en Corts;2.056;12001;9945;0.206737054
10.3. Malilla;1.724;22026;20302;0.084917742
10.4. Fonteta de Sant Lluís;320;2901;2581;0.123982952
10.5. na Rovella;869;7890;7021;0.123771543
10.6. la Punta;432;2610;2178;0.198347107
10.7. Ciutat de les Arts i de les Ciències;839;6786;5947;0.141079536
11.1. el Grau;1.397;9336;7939;0.175966746
11.2. el Cabanyal- el Canyamelar;2.884;20170;17286;0.166840218
11.3. la Malva-rosa;1.424;13137;11713;0.121574319
11.4. Beteró;698;8047;7349;0.094978909
11.5. Natzaret;911;5953;5042;0.180682269
12.1. Aiora;3.430;25092;21662;0.158341797
12.2. Albors;1.085;8651;7566;0.143404705
12.3. la Creu del Grau;2.228;14765;12537;0.177713967
12.4. Camí Fondo;801;4574;3773;0.212297906
12.5. Penya-roja;1.381;12238;10857;0.127199042
13.1. l'Illa Perduda;645;8716;8071;0.079915748
13.2. Ciutat Jardí;1.336;11958;10622;0.12577669
13.3. l'Amistat;1.149;7174;6025;0.190705394
13.4. la Bega Baixa;389;5689;5300;0.073396226
13.5. la Carrasca;411;3506;3095;0.13279483
14.1. Benimaclet;2.958;23631;20673;0.143085184
14.2. Camí de Vera;332;5407;5075;0.065418719
15.1. Orriols;3.346;16019;12673;0.264025882
15.2. Torrefiel;3.770;26038;22268;0.169301239
15.3. Sant Llorenç;500;10707;10207;0.04898599
16.1. Benicalap;4.808;39906;35098;0.136987863
16.2. Ciutat Fallera;801;5732;4931;0.162441695
17.1. Benifaraig;21;1014;993;0.021148036
17.2. Poble Nou;85;855;770;0.11038961
17.3. Carpesa;61;1216;1155;0.052813853
17.4. Cases de Bàrcena;46;355;309;0.148867314
17.5. Mauella;4;47;43;0.093023256
17.6. Massarrojos;162;2327;2165;0.07482679
17.7. Borbotó;35;721;686;0.051020408
18.1. Benimàmet;1.330;12888;11558;0.115071812
18.2. Beniferri;111;1117;1006;0.110337972
19.1. el Forn d'Alcedo;85;1207;1122;0.075757576
19.2. el Castellar-l'Oliverar;453;6827;6374;0.071069972
19.3. Pinedo;190;2533;2343;0.081092616
19.4. el Saler;172;1737;1565;0.109904153
19.5. el Palmar;41;759;718;0.057103064
19.6. el Perellonet;67;1407;1340;0.05
19.7. la Torre;629;4706;4077;0.154280108
19.8. Faitanar;137;1061;924;0.148268398
