11;la Seu;76
12;la Xerea;53
13;el Carme;240
14;el Pilar;157
15;el Mercat;126
16;Sant Francesc;95
21;Russafa;691
22;el Pla del Remei;84
23;Gran Via;167
31;el Bot\u00c3\u00a0nic;214
32;la Roqueta;85
33;la Petxina;342
34;Arrancapins;527
41;Campanar;243
42;les Tendetes;90
43;el Calvari;42
44;Sant Pau;525
51;Marxalenes;191
52;Morvedre;342
53;Trinitat;169
54;Tormos;314
55;Sant Antoni;282
61;Exposici\u00c3\u00b3;90
62;Mestalla;268
63;Jaume Roig;100
64;Universit\u00c3\u00a0ria;52
71;Nou Moles;400
72;Soternes;143
73;Tres Forques;97
74;la Fontsanta;23
75;la Llum;68
81;Patraix;479
82;Sant Isidre;238
83;Vara de Quart;250
84;Safranar;193
85;Favara;77
91;la Raiosa;231
92;l'Hort de Senabre;230
93;la Creu Coberta;99
94;Sant Marcel\u00c2\u00b7l\u00c3\u00ad;138
95;Cam\u00c3\u00ad Real;87
101;Mont-Olivet;284
102;En Corts;256
103;Malilla;537
104;Fonteta de Sant Llu\u00c3\u00ads;24
105;na Rovella;86
106;la Punta;72
107;Ciutat Arts i Ci\u00c3\u00a8ncies;299
111;el Grau;142
112;el Cabanyal-el Canyamelar;324
113;la Malva-rosa;141
114;Beter\u00c3\u00b3;130
115;Natzaret;115
121;Aiora;409
122;Albors;168
123;la Creu del Grau;270
124;Cam\u00c3\u00ad Fondo;92
125;Penya-roja;245
131;l'Illa Perduda;149
132;Ciutat Jard\u00c3\u00ad;238
133;l'Amistat;128
134;la Bega Baixa;135
135;la Carrasca;92
141;Benimaclet;604
142;Cam\u00c3\u00ad de Vera;207
151;Orriols;192
152;Torrefiel;525
153;Sant Lloren\u00c3\u00a7;313
161;Benicalap;716
162;Ciutat Fallera;71
171;Benifaraig;227
172;Poble Nou;45
173;Carpesa;45
174;Cases de B\u00c3\u00a0rcena;25
175;Mauella;0
176;Massarrojos;207
177;Borbot\u00c3\u00b3;210
181;Benim\u00c3\u00a0met;474
182;Beniferri;22
191;el Forn d'Alcedo;83
192;el Castellar-l'Oliverar;292
193;Pinedo;52
194;el Saler;141
195;el Palmar;50
196;el Perellonet;33
197;la Torre;271
198;Faitanar;94
