;Censo Electoral;Número de votos total
11 la Seu;2076;1517
12 la Xerea;2894;2199
13 el Carme;4857;3618
14 el Pilar;3279;2302
15 el Mercat;2575;1875
16 Sant Francesc;4187;3152
21 Russafa;17731;13242
22 el Pla del Remei;5474;4349
23 Gran Via;8957;6982
31 el Botànic;4844;3558
32 la Roqueta;3080;2249
33 la Petxina;11440;8732
34 Arrancapins;17207;13101
41 Campanar;9196;7056
42 les Tendetes;3866;2779
43 el Calvari;3401;2193
44 Sant Pau;10663;7994
51 Marxalenes;7861;5546
52 Morvedre;7709;5548
53 Trinitat;5898;4339
54 Tormos;6038;4139
55 Sant Antoni;7393;5469
61 Exposició;5226;4097
62 Mestalla;10766;8086
63 Jaume Roig;4911;3878
64 Ciutat Universitària;1968;1528
71 Nou Moles;19118;13555
72 Soternes;3583;2568
73 Tres Forques;6041;3996
74 la Fontsanta;2290;1418
75 la Llum;3884;2875
81 Patraix;18543;13828
82 Sant Isidre;7532;5521
83 Vara de Quart;8429;6392
84 Safranar;6970;5346
85 Favara;2552;1802
91 la Raiosa;10862;7708
92 l'Hort de Senabre;12834;9460
93 la Creu Coberta;4700;3489
94 Sant Marcel·lí;7680;5548
95 Camí Real;2655;1887
101 Mont-Olivet;14068;9667
102 en Corts;8422;5766
103 Malilla;16689;12251
104 Fonteta de Sant Lluís;2112;1415
105 na Rovella;5976;3516
106 la Punta;1826;1197
107 Ciutat de les Arts i de les Ciències;4408;3296
111 el Grau;6633;4549
112 el Cabanyal- el Canyamelar;14782;9733
113 la Malva-rosa;10201;6940
114 Beteró;6153;4467
115 Natzaret;4234;2583
121 Aiora;17991;12713
122 Albors;6437;4614
123 la Creu del Grau;10525;7282
124 Camí Fondo;3128;2149
125 Penya-roja;7527;5689
131 l'Illa Perduda;6976;5074
132 Ciutat Jardí;9594;7307
133 l'Amistat;5276;3751
134 la Bega Baixa;4522;3532
135 la Carrasca;2632;2032
141 Benimaclet;17767;13062
142 Camí de Vera;4341;3397
151 Orriols;10507;6861
152 Torrefiel;18429;12621
153 Sant Llorenç;7331;5689
161 Benicalap;28277;19835
162 Ciutat Fallera;4116;2756
171 Benifaraig;816;649
172 Poble Nou;673;458
173 Carpesa;1014;800
174 Cases de Bàrcena;322;224
175 la Llum;;
176 Massarrojos;1632;1280
177 Borbotó;567;415
181 Benimàmet;9471;6520
182 Beniferri;776;604
191 el Forn d'Alcedo;972;684
192 el Castellar-l'Oliverar;5375;3737
193 Pinedo;2007;1330
194 el Saler;1272;909
195 el Palmar;633;572
196 el Perellonet;1119;749
197 la Torre;4105;2711
198 Faitanar;;
