11 La Seu;2990;2090;900
12 La Xerea;2945;1820;1125
13 El Carme;5440;3775;1660
14 El Pilar;3795;2750;1040
15 El Mercat;3000;1920;1080
16 Sant Francesc;4415;2225;2195
21 Russafa;21710;14025;7685
22 El Pla del Remei;5885;3095;2790
23 Gran Via;9000;4840;4160
31 El Botànic;5205;3040;2160
32 La Roqueta;3900;2445;1455
33 La Petxina;13490;8370;5120
34 Arrancapins;19475;11055;8420
41 Campanar;9980;6120;3860
42 Les Tendetes;4875;2520;2355
43 El Calvari;3320;1810;1510
44 Sant Pau;12065;9145;2915
51 Marxalenes;9235;5230;4005
52 Morvedre;8750;5315;3435
53 Trinitat;8215;4835;3380
54 Tormos;6800;4135;2665
55 Sant Antoni;7790;4650;3145
61 Exposició;4930;2765;2165
62 Mestalla;13995;8480;5515
63 Jaume Roig;4510;2495;2015
64 Ciutat Universitària;2315;1325;990
71 Nou Moles;22485;13105;9385
72 Soternes;4895;3090;1805
73 Tres Forques;6705;3395;3310
74 La Fontsanta;3295;2095;1200
75 La Llum;4500;2705;1790
81 Patraix;21025;13125;7905
82 Sant Isidre;8360;6030;2335
83 Vara de Quart;9185;5480;3705
84 Safranar;6980;4570;2410
85 Favara;3050;1955;1095
91 La Raiosa;12505;7620;4890
92 L'Hort de Senabre;12940;7860;5080
93 La Creu Coberta;6645;4800;1845
94 Sant Marcellí;9690;6240;3450
95 Camí Real;3210;2360;850
101 Montolivet;16340;9265;7075
102 En Corts;9900;6265;3635
103 Malilla;18960;12655;6300
104 La Fonteta de Sant Lluís;2130;1485;645
105 Na Rovella;6000;3665;2335
106 La Punta;2140;1245;890
107 Ciutat de les Arts i de les Ciències;6255;4945;1310
111 El Grau;7250;4670;2580
112 El Cabanyal-El Canyamelar;17930;10980;6950
113 La Malva-rosa;12115;7035;5080
114 Beteró;7930;4940;2990
115 Natzaret;4350;3020;1325
121 Aiora;20690;13240;7450
122 Albors;6835;4135;2695
123 La Creu del Grau;12360;8240;4115
124 Camí Fondo;4105;2585;1520
125 Penya-roja;9185;6835;2350
131 L'Illa Perduda;7090;4245;2850
132 Ciutat Jardí;11670;7180;4485
133 L'Amistat;5985;3635;2350
134 La Bega Baixa;5160;3060;2100
135 La Carrasca;3530;2150;1380
141 Benimaclet;20755;12375;8375
142 Camí de Vera;4790;3285;1505
151 Els Orriols;14295;7985;6310
152 Torrefiel;20040;11955;8085
153 Sant Llorenç;9105;7020;2085
161 Benicalap;33140;21720;11420
162 Ciutat Fallera;4265;2585;1680
171 Benifaraig, Cases de Bàrcena i Mauella;1390;875;520
172 Poble Nou;830;455;375
173 Carpesa;1125;755;370
174 Cases de Bàrcena;1390;875;520
175 Mauella;1390;875;520
176 Massarrojos;1325;820;510
177 Borbotó;;315;
181 Benimàmet;11695;8005;3690
182 Beniferri;11695;8005;3690
191 El Forn d'Alcedo;1035;560;470
192 El Castellar-L'Oliveral;6240;3555;2685
193 Pinedo;2110;1175;935
194 El Saler;1735;1060;675
195 El Palmar;;445;
196 El Perellonet;1325;950;370
197 La Torre i Faitanar;4100;2465;1630
198 Faitanar;4100;2465;1630
